                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2802,                 7.8723,                 3.8892,                      0,                      0,                      0,                      0,                 1.9471,                 8.2157,                 3.0093,                3.5e-05,                3.5e-05,                3.5e-05
                      2,                 2.4142,                 6.7667,                 2.9588,                      0,                      0,                      0,                      0,                 1.9909,                 8.3754,                 3.0596,             7.3515e-05,             7.3515e-05,             7.3515e-05
                      3,                 2.1796,                 6.0194,                 2.8342,                0.19149,                   0.75,                0.40802,                0.14972,                 1.9997,                 8.1912,                 3.4037,             0.00011045,             0.00011045,             0.00011045
                      4,                 2.1082,                 5.3138,                 2.7264,                0.02564,                      1,                0.44543,                0.14151,                 1.8615,                 8.0993,                 3.1266,             0.00014579,             0.00014579,             0.00014579
                      5,                 1.8825,                 4.4985,                 2.5475,                0.01687,                0.91667,                0.42502,                0.12065,                 1.9757,                 7.7288,                 3.0988,             0.00017956,             0.00017956,             0.00017956
                      6,                 1.7706,                 4.4871,                 2.3238,                0.01544,                   0.75,                0.34198,                0.10876,                  2.157,                 8.6011,                 3.0214,             0.00021174,             0.00021174,             0.00021174
                      7,                 1.8646,                 4.5778,                   2.42,                0.01359,                0.58333,                0.43325,                0.25326,                 2.2591,                 9.7764,                 2.8623,             0.00024233,             0.00024233,             0.00024233
                      8,                 1.7316,                 3.9964,                 2.3575,                0.84601,                   0.25,                0.59467,                0.28987,                 2.3025,                 9.6726,                 2.9344,             0.00027134,             0.00027134,             0.00027134
                      9,                 1.7366,                 3.8798,                 2.3037,                      1,                0.40311,                  0.714,                0.39139,                 2.0961,                 9.3377,                 2.9638,             0.00029877,             0.00029877,             0.00029877
                     10,                 1.5188,                 3.7593,                 2.1524,                0.83357,                   0.75,                0.82188,                 0.3954,                 1.8598,                 8.9844,                 2.7311,             0.00032461,             0.00032461,             0.00032461
                     11,                 1.6976,                 3.9086,                 2.2463,                0.71747,                0.66667,                0.71996,                0.36487,                 1.9583,                 8.9751,                 2.7845,             0.00034887,             0.00034887,             0.00034887
                     12,                 1.7624,                 4.0226,                  2.319,                0.78483,                0.66667,                0.66996,                0.36133,                  1.988,                 9.0203,                 2.8016,             0.00037155,             0.00037155,             0.00037155
                     13,                 1.7432,                 4.0102,                 2.2661,                0.68793,                0.66667,                0.67707,                0.32412,                 2.0255,                 9.0208,                 2.8315,              0.0003812,              0.0003812,              0.0003812
                     14,                 1.6086,                 3.6334,                  2.164,                0.67318,                0.85939,                0.70497,                 0.3153,                 1.9442,                 8.9581,                 2.7559,              0.0003713,              0.0003713,              0.0003713
                     15,                 1.6162,                 4.0041,                 2.1323,                0.67591,                0.87029,                0.72608,                0.33558,                 1.9536,                 8.2061,                 2.8173,              0.0003614,              0.0003614,              0.0003614
                     16,                 1.5631,                  3.653,                 2.1589,                0.77264,                0.91667,                0.83042,                0.34858,                 1.9582,                 7.2725,                 2.8954,              0.0003515,              0.0003515,              0.0003515
                     17,                 1.5408,                 3.7479,                 2.1292,                0.81224,                0.83333,                0.90711,                0.37237,                 2.0991,                 7.0133,                 3.3332,              0.0003416,              0.0003416,              0.0003416
                     18,                 1.5265,                 3.5637,                 2.1168,                0.84336,                0.91667,                0.93685,                0.39689,                 2.0348,                  7.276,                 3.2118,              0.0003317,              0.0003317,              0.0003317
                     19,                 1.5721,                 3.6965,                 2.1671,                 0.9576,                   0.75,                0.92429,                0.35196,                 2.0271,                 6.9257,                 3.2048,              0.0003218,              0.0003218,              0.0003218
                     20,                  1.405,                 3.2534,                 2.0409,                0.81488,                   0.75,                0.92623,                0.38497,                 2.0269,                 7.0044,                 3.1297,              0.0003119,              0.0003119,              0.0003119
                     21,                 1.4456,                 3.3129,                 2.0034,                0.80178,                0.83333,                  0.875,                0.37754,                 1.9667,                 7.4966,                 2.9724,               0.000302,               0.000302,               0.000302
                     22,                 1.3168,                  3.013,                 2.0169,                0.81796,                0.83333,                0.85408,                0.35782,                 2.0609,                 7.4698,                 3.0144,              0.0002921,              0.0002921,              0.0002921
                     23,                 1.3845,                  3.074,                 2.0095,                0.58564,                0.70811,                0.66782,                0.36094,                 2.0693,                 7.2609,                 3.0058,              0.0002822,              0.0002822,              0.0002822
                     24,                 1.5422,                  3.534,                 2.0934,                0.93349,                    0.5,                0.64896,                0.32924,                 2.0788,                 6.8604,                 2.8962,              0.0002723,              0.0002723,              0.0002723
                     25,                 1.5078,                 3.2942,                 2.0687,                0.66163,                0.66667,                0.74558,                0.33401,                 2.1033,                 6.1056,                 2.9303,              0.0002624,              0.0002624,              0.0002624
                     26,                 1.5037,                 3.3562,                 1.9844,                0.58266,                0.91667,                0.84113,                 0.3726,                 2.0772,                 5.8876,                 2.9943,              0.0002525,              0.0002525,              0.0002525
                     27,                 1.4828,                  3.231,                 2.0334,                0.76987,                0.83658,                0.94755,                0.37157,                 1.9935,                 5.9776,                 3.1266,              0.0002426,              0.0002426,              0.0002426
                     28,                 1.4007,                 3.4166,                 1.9519,                0.79113,                      1,                0.96669,                0.39032,                 2.0339,                 5.6646,                 3.1186,              0.0002327,              0.0002327,              0.0002327
                     29,                 1.5744,                 3.3982,                 2.0604,                0.84558,                0.91293,                0.95451,                0.39226,                 2.0108,                  5.532,                 3.0661,              0.0002228,              0.0002228,              0.0002228
                     30,                 1.7238,                 3.7371,                 2.1782,                0.71031,                0.81825,                0.89907,                0.40119,                 2.0486,                 5.4551,                 2.8376,              0.0002129,              0.0002129,              0.0002129
                     31,                 1.4179,                 3.1325,                 1.9468,                0.68293,                0.91667,                 0.8928,                0.40073,                 1.9764,                 5.7138,                 2.6342,               0.000203,               0.000203,               0.000203
                     32,                 1.4811,                 3.5027,                 1.9494,                0.71144,                0.91667,                0.79687,                0.41863,                 1.8845,                 5.9101,                 2.4669,              0.0001931,              0.0001931,              0.0001931
                     33,                 1.4141,                 2.9821,                 1.9728,                0.67523,                0.91667,                0.75903,                0.42429,                 1.8653,                 6.0217,                 2.3847,              0.0001832,              0.0001832,              0.0001832
                     34,                 1.3511,                 3.1148,                 1.8785,                0.74717,                0.98587,                0.91585,                0.42628,                 1.8176,                 5.9782,                 2.4183,              0.0001733,              0.0001733,              0.0001733
                     35,                 1.3739,                 3.1576,                 1.9303,                0.75271,                0.91667,                0.89365,                0.40574,                  1.802,                 6.1158,                 2.4011,              0.0001634,              0.0001634,              0.0001634
                     36,                 1.2677,                  2.944,                 1.8731,                0.71091,                0.82053,                0.75689,                0.37511,                 1.7974,                 6.2116,                 2.4041,              0.0001535,              0.0001535,              0.0001535
                     37,                 1.4465,                 3.2019,                  1.917,                0.76235,                0.91667,                0.88751,                0.38272,                 1.8231,                 6.2073,                 2.4043,              0.0001436,              0.0001436,              0.0001436
                     38,                 1.2622,                 2.9277,                  1.814,                0.68638,                0.83333,                0.81267,                0.37469,                 1.8494,                 6.2359,                 2.4349,              0.0001337,              0.0001337,              0.0001337
                     39,                 1.2216,                 2.8001,                 1.8052,                0.65811,                0.91667,                0.82295,                0.37767,                 1.8457,                 6.2352,                 2.4228,              0.0001238,              0.0001238,              0.0001238
                     40,                 1.4077,                 3.1307,                 2.0013,                0.69306,                      1,                0.85973,                0.37756,                 1.8592,                 5.8387,                 2.4423,              0.0001139,              0.0001139,              0.0001139
                     41,                 1.8571,                 7.2815,                 1.9815,                0.70385,                 0.9908,                0.83897,                0.37588,                 1.8479,                 5.8283,                 2.4727,               0.000104,               0.000104,               0.000104
                     42,                 1.7789,                 7.0265,                 1.8838,                0.64937,                0.91667,                0.83188,                0.37852,                 1.8392,                 5.7684,                 2.4759,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                  2.038,                 7.9594,                 2.0347,                0.65416,                0.94685,                0.85354,                0.39026,                 1.8642,                 5.9345,                 2.4895,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                 1.9677,                 7.7274,                 1.8832,                0.65844,                      1,                0.86816,                0.40239,                 1.8383,                 6.0832,                 2.4891,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                 1.9545,                 7.8113,                 1.9299,                0.62366,                0.91667,                0.89158,                0.42859,                 1.8192,                 6.0561,                 2.5597,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                 2.0425,                 7.6532,                 2.0861,                0.83201,                0.91667,                0.91978,                0.44154,                  1.818,                 5.8558,                 2.6142,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                 1.8883,                 7.6402,                 1.8789,                0.83973,                0.87493,                0.92797,                0.43505,                 1.8168,                 5.7134,                 2.6382,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                 1.7683,                 6.9385,                 1.8785,                0.79042,                0.83333,                0.92819,                 0.4355,                  1.834,                 5.7058,                 2.6292,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                 1.8539,                 7.0956,                 1.8473,                0.80893,                0.83333,                  0.915,                0.43675,                 1.8451,                 5.6616,                   2.63,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                 1.7922,                 6.9609,                 1.7857,                0.80379,                0.83333,                0.91333,                0.44116,                 1.8315,                 5.6478,                 2.6061,               1.49e-05,               1.49e-05,               1.49e-05
